LOCATION,X SERIAL,Y SERIAL,Z SERIAL,OT1
0,0,0,0,0.072374
0.050267,-2.422151,-1.368757,3.929735,0.046824
0.100688,-5.581641,-3.148854,7.076572,0.082349
0.15095,-9.442119,-5.338873,8.929961,0.033152
0.200955,-13.505708,-7.671132,10.064515,0.016716
0.250921,-17.628784,-10.047862,10.837249,0.013462
0.30088,-21.783394,-12.449661,11.303565,0.011562
0.350849,-25.951992,-14.865998,11.474765,0.016678
0.400834,-30.118191,-17.282352,11.263421,0.001518
0.450811,-34.272072,-19.688817,10.816113,0.020514
0.500861,-38.371009,-22.060867,9.920484,0.020973
0.550886,-42.37263,-24.374856,8.552526,0.016331
0.600885,-46.269162,-26.626135,6.822378,0.013325
0.650866,-50.063835,-28.816657,4.81007,0.005897
0.700689,-53.810926,-30.977312,2.680089,0.023602
0.7505,-57.705692,-33.216915,0.930347,0.006668
0.800399,-61.639641,-35.472554,-0.709777,0.006245
0.850352,-65.523953,-37.697914,-2.500699,0.006188
0.900263,-69.341393,-39.88447,-4.475262,0.014471
0.950126,-73.199357,-42.100125,-6.33423,0.002731
1,-77.152682,-44.379639,-7.886214,0.048043
0,0,0,0,0.075528
0.050362,-2.431984,-1.361523,3.91828,0.04526
0.101003,-5.607214,-3.126863,7.047129,0.080938
0.151441,-9.479682,-5.296376,8.882865,0.033167
0.201471,-13.544053,-7.617534,10.010414,0.01673
0.25144,-17.663617,-9.988913,10.778658,0.013476
0.301393,-21.811639,-12.39002,11.241429,0.011597
0.351365,-25.971081,-14.809634,11.40977,0.016925
0.401356,-30.12787,-17.229389,11.196286,0.001818
0.45133,-34.273476,-19.637115,10.747842,0.020809
0.501425,-38.364543,-22.008484,9.848669,0.020936
0.551471,-42.358767,-24.320645,8.47841,0.016272
0.601474,-46.248571,-26.569041,6.747103,0.013304
0.651446,-50.037117,-28.755771,4.734373,0.005287
0.701152,-53.780831,-30.912483,2.608963,0.022673
0.750841,-57.67353,-33.14441,0.862303,0.006798
0.800681,-61.606843,-35.387631,-0.777659,0.007549
0.850622,-65.49195,-37.597939,-2.568376,0.008098
0.900483,-69.313112,-39.766965,-4.539494,0.01695
0.950231,-73.175781,-41.966419,-6.391433,0.003074
1,-77.127679,-44.238103,-7.938756,0.048889
0,0,0,0,0.081147
0.050014,-2.442296,-1.401069,3.907292,0.034983
0.100235,-5.629309,-3.214193,7.007733,0.065447
0.150509,-9.512378,-5.413484,8.799855,0.020015
0.200588,-13.586022,-7.743777,9.907063,0.012576
0.250629,-17.712549,-10.11951,10.673009,0.012716
0.300657,-21.86657,-12.523482,11.148615,0.012809
0.350692,-26.033197,-14.944586,11.343473,0.018753
0.400732,-30.199586,-17.36557,11.157163,0.002851
0.450739,-34.355145,-19.775046,10.727339,0.020915
0.500821,-38.456764,-22.149322,9.842947,0.020962
0.550864,-42.461199,-24.465126,8.481737,0.016174
0.600877,-46.359769,-26.717608,6.754133,0.013302
0.650872,-50.155267,-28.908606,4.740679,0.006028
0.700708,-53.901538,-31.068648,2.60534,0.022194
0.750525,-57.792167,-33.304673,0.83828,0.003504
0.800443,-61.719436,-35.551436,-0.833756,0.012929
0.850455,-65.596671,-37.760512,-2.663957,0.01639
0.900397,-69.407675,-39.918987,-4.684711,0.010049
0.950188,-73.265874,-42.101383,-6.585199,0.002865
1,-77.222503,-44.367653,-8.152596,0.044936
0,0,0,0,0.078257
0.049921,-2.432487,-1.408279,3.918737,0.0372
0.099928,-5.603882,-3.235994,7.037118,0.067941
0.150022,-9.474947,-5.455584,8.847222,0.02062
0.200073,-13.547722,-7.797227,9.961326,0.012471
0.250112,-17.677732,-10.17842,10.731624,0.012761
0.300144,-21.838299,-12.583183,11.210582,0.012716
0.350177,-26.014014,-15.001109,11.408077,0.018407
0.40021,-30.189788,-17.418691,11.223981,0.00261
0.450222,-34.35365,-19.82684,10.795375,0.020569
0.500259,-38.463141,-22.201764,9.914572,0.020937
0.550281,-42.474995,-24.519366,8.55573,0.016197
0.60029,-46.380344,-26.774694,6.829367,0.013319
0.650293,-50.181998,-28.969475,4.816385,0.006647
0.700243,-53.931752,-31.133425,2.676646,0.023076
0.750184,-57.824462,-33.377106,0.906543,0.003053
0.800162,-61.752338,-35.636323,-0.765678,0.01228
